python train.py --scenario simple_push --num-adversaries 1 --independent-learner True --lr_actor 0.005 --lr_critic 0.01 --lr_lamda 0.0001 --alpha 0.05 --independent-learner True
2018-10-28 00:08:14.497056: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
In MADDPGAgentTrainerIndepLearner
In MADDPGAgentTrainerIndepLearner
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -25.964392467912425, agent episode reward: [1.544093315870503, -27.508485783782927], time: 18.021
Running avgs for agent 1: q_loss: 3.0424067974090576, q_loss2: -2.8545374870300293, p_loss: 2.039217472076416, mean_rew: -0.35476337596292273, var_rew: 0.03960224241018295, lamda: 2.2508552074432373
steps: 1299975, episodes: 52000, mean episode reward: -21.062283144621922, agent episode reward: [-14.371962458073117, -6.6903206865488025], time: 24.957
Running avgs for agent 0: q_loss: 95.89691925048828, q_loss2: -74.29129028320312, p_loss: 0.020033003762364388, mean_rew: -0.4251666019180703, var_rew: 0.10784538835287094, lamda: 2.2618467807769775
Running avgs for agent 1: q_loss: 2.96392822265625, q_loss2: -2.6964807510375977, p_loss: 2.023205518722534, mean_rew: -0.3554778330604996, var_rew: 0.0382816307246685, lamda: 2.275829315185547
steps: 1324975, episodes: 53000, mean episode reward: -21.141393033079307, agent episode reward: [-14.334638265399294, -6.806754767680015], time: 25.065
Running avgs for agent 0: q_loss: 94.79728698730469, q_loss2: -77.67709350585938, p_loss: 0.20339742302894592, mean_rew: -0.4340357224738387, var_rew: 0.16880609095096588, lamda: 2.2868213653564453
Running avgs for agent 1: q_loss: 3.430788993835449, q_loss2: -3.1853256225585938, p_loss: 1.992920160293579, mean_rew: -0.35205393365662496, var_rew: 0.03579746186733246, lamda: 2.3008038997650146
steps: 1349975, episodes: 54000, mean episode reward: -22.223400876984563, agent episode reward: [-15.406930474916912, -6.816470402067652], time: 25.004
Running avgs for agent 0: q_loss: 102.33182525634766, q_loss2: -81.49885559082031, p_loss: 0.392585426568985, mean_rew: -0.4403109834372634, var_rew: 0.20406709611415863, lamda: 2.311795711517334
Running avgs for agent 1: q_loss: 3.8479158878326416, q_loss2: -3.534484386444092, p_loss: 1.9808571338653564, mean_rew: -0.3524883253579508, var_rew: 0.035730279982089996, lamda: 2.3257782459259033
steps: 1374975, episodes: 55000, mean episode reward: -23.412388930753252, agent episode reward: [-16.655630104962878, -6.756758825790375], time: 25.017
Running avgs for agent 0: q_loss: 97.4233169555664, q_loss2: -84.0565185546875, p_loss: 0.7353676557540894, mean_rew: -0.4474578417418717, var_rew: 0.18760238587856293, lamda: 2.3367698192596436
Running avgs for agent 1: q_loss: 3.0885229110717773, q_loss2: -2.819830894470215, p_loss: 1.9384541511535645, mean_rew: -0.3480085907804074, var_rew: 0.03910370543599129, lamda: 2.350752353668213
steps: 1399975, episodes: 56000, mean episode reward: -22.179779491527842, agent episode reward: [-15.471467613893036, -6.708311877634805], time: 25.023
Running avgs for agent 0: q_loss: 169.6890869140625, q_loss2: -149.46116638183594, p_loss: 1.1077136993408203, mean_rew: -0.45691695330449705, var_rew: 0.13061852753162384, lamda: 2.3617441654205322
Running avgs for agent 1: q_loss: 3.281848669052124, q_loss2: -3.056062936782837, p_loss: 1.9147043228149414, mean_rew: -0.3466968877249841, var_rew: 0.05263790860772133, lamda: 2.3757269382476807
steps: 1424975, episodes: 57000, mean episode reward: -23.090842743778865, agent episode reward: [-16.286871606811186, -6.803971136967677], time: 25.086
Running avgs for agent 0: q_loss: 121.14114379882812, q_loss2: -98.36690521240234, p_loss: 1.3442944288253784, mean_rew: -0.46515950382700055, var_rew: 0.1619282066822052, lamda: 2.386718511581421
Running avgs for agent 1: q_loss: 4.462380409240723, q_loss2: -4.055942535400391, p_loss: 1.887347936630249, mean_rew: -0.344876588048075, var_rew: 0.04013238847255707, lamda: 2.4007012844085693
steps: 1449975, episodes: 58000, mean episode reward: -22.451456273407015, agent episode reward: [-15.604220042942533, -6.847236230464481], time: 25.326
Running avgs for agent 0: q_loss: 123.28162384033203, q_loss2: -102.56612396240234, p_loss: 1.350091814994812, mean_rew: -0.4692346654328122, var_rew: 0.11305804550647736, lamda: 2.4116928577423096
Running avgs for agent 1: q_loss: 3.8540396690368652, q_loss2: -3.542531728744507, p_loss: 1.8455684185028076, mean_rew: -0.3426082915648498, var_rew: 0.041014060378074646, lamda: 2.425675868988037
steps: 1474975, episodes: 59000, mean episode reward: -21.040192329229374, agent episode reward: [-14.55667733090401, -6.4835149983253615], time: 25.216
Running avgs for agent 0: q_loss: 126.41561126708984, q_loss2: -108.95574951171875, p_loss: 1.2334262132644653, mean_rew: -0.47781332930753784, var_rew: 0.027182886376976967, lamda: 2.4366674423217773
Running avgs for agent 1: q_loss: 4.167294502258301, q_loss2: -3.8406295776367188, p_loss: 1.8107954263687134, mean_rew: -0.3412295453580857, var_rew: 0.04737205430865288, lamda: 2.4506499767303467
steps: 1499975, episodes: 60000, mean episode reward: -19.45745917407464, agent episode reward: [-12.715211709336167, -6.74224746473847], time: 25.117
Running avgs for agent 0: q_loss: 120.00637817382812, q_loss2: -102.6013412475586, p_loss: 1.0921447277069092, mean_rew: -0.4847924488375304, var_rew: -0.03039935603737831, lamda: 2.461641550064087
Running avgs for agent 1: q_loss: 3.3609843254089355, q_loss2: -3.0557754039764404, p_loss: 1.7565175294876099, mean_rew: -0.33651361128003426, var_rew: 0.04883680120110512, lamda: 2.4756243228912354
Traceback (most recent call last):

